id,ticker_id,date_id,open,high,low,close,volume,vwap,daily_return_pct,sma_7,sma_30,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,bb_upper,bb_middle,bb_lower,volatility_7d,volume_zscore,is_outlier,target_next_close,ingested_at
119,1,20241028,231.7974,233.1982,231.0324,231.8768,36087100,,0,230.134,230.119,230.9676,230.2017,0.7659,1.0986,-0.3327,59.1415,235.716,231.6046,227.4932,0.003398,-0.4982,f,232.145,2026-05-11 03:09:19.738139
120,1,20241029,231.5788,232.8008,230.8039,232.1451,35417200,,0,230.9869,230.6423,231.302,230.479,0.823,0.9962,-0.1732,61.1325,235.6864,231.5867,227.487,0.003238,-0.4465,f,228.5984,2026-05-11 03:09:19.738139
121,1,20241030,231.092,231.9464,228.0519,228.5984,47070900,,0,230.7343,230.6794,230.5341,230.2107,0.3234,0.7897,-0.4663,32.9096,235.8602,231.4198,226.9794,0.007122,1.1323,f,224.4357,2026-05-11 03:09:19.738139
122,1,20241031,227.8433,228.3301,223.8992,224.4357,64370100,,0,228.8907,230.472,228.802,229.3868,-0.5848,0.3585,-0.9433,19.1179,236.9949,230.7999,224.6049,0.008337,2.2332,f,221.4553,2026-05-11 03:09:19.738139
123,1,20241101,219.5279,223.8794,218.8325,221.4553,65276700,,0,225.8748,230.1647,226.7154,228.2553,-1.5399,-0.2589,-1.281,13.6608,237.7276,229.5988,221.47,0.008455,1.7329,f,220.5611,2026-05-11 03:09:19.738139
124,1,20241104,219.5478,221.3361,218.2762,220.5611,44944500,,0,223.0718,229.5494,224.9674,227.1576,-2.1902,-0.9104,-1.2798,12.2626,237.0926,228.1612,219.2298,0.007571,-0.041,f,221.9917,2026-05-11 03:09:19.738139
125,1,20241105,220.3525,222.4885,219.6968,221.9917,28111300,,0,221.7788,228.8606,224.1222,226.4207,-2.2985,-1.4048,-0.8937,27.9663,235.4969,226.9283,218.3597,0.006027,-1.2805,f,221.2665,2026-05-11 03:09:19.738139
126,1,20241106,221.1572,224.5947,219.7465,221.2665,54561100,,0,221.2991,228.2606,223.3111,225.6854,-2.3743,-1.7509,-0.6234,24.9522,235.1825,226.1296,217.0767,0.00339,0.7773,f,225.9955,2026-05-11 03:09:19.738139
127,1,20241107,223.1641,226.3929,223.1045,225.9955,42137700,,0,222.7241,227.9513,224.0736,225.7296,-1.656,-1.7693,0.1133,61.2295,234.6508,225.8226,216.9944,0.008398,-0.2937,f,225.7269,2026-05-11 03:09:19.738139
1,1,20240509,180.9135,182.9946,180.4676,182.9054,48983000,,0,,,182.9054,182.9054,0,0,0,,,,,,,f,181.6452,2026-05-11 03:09:19.738139
2,1,20240510,183.481,183.6695,180.7322,181.6452,50759500,,0,,,182.5475,182.7256,-0.1781,-0.0517,-0.1264,0,,,,,,f,184.8504,2026-05-11 03:09:19.738139
